                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5477,                 1.4379,                 1.7631,                 0.7174,                 0.5303,                0.59786,                0.32387,                 1.6309,                 1.5333,                 1.8639,               0.005248,               0.005248,               0.005248
                     50,                 1.5442,                 1.3967,                 1.7413,                0.72709,                0.54242,                0.64063,                 0.3389,                 1.6111,                 1.5309,                 1.8538,               0.005149,               0.005149,               0.005149
                     51,                  1.568,                 1.4842,                    1.8,                0.67298,                0.57879,                0.63925,                0.34609,                 1.6262,                 1.4386,                  1.861,                0.00505,                0.00505,                0.00505
                     52,                 1.5249,                 1.3708,                 1.7123,                0.73373,                0.53636,                0.63782,                0.34311,                 1.6135,                  1.489,                 1.8344,               0.004951,               0.004951,               0.004951
                     53,                 1.5589,                 1.3807,                 1.7421,                0.68009,                0.54545,                0.62344,                0.34696,                 1.6541,                 1.4812,                 1.8921,               0.004852,               0.004852,               0.004852
                     54,                 1.5422,                 1.3623,                 1.7035,                0.75209,                0.52401,                0.63375,                0.33898,                 1.6306,                  1.458,                 1.8626,               0.004753,               0.004753,               0.004753
                     55,                 1.5097,                 1.2979,                 1.6737,                0.72297,                0.54566,                0.63138,                0.34793,                 1.6199,                 1.4499,                 1.8345,               0.004654,               0.004654,               0.004654
                     56,                 1.4612,                 1.2518,                 1.6559,                0.72286,                0.54848,                0.62815,                 0.3344,                 1.6455,                  1.468,                 1.8538,               0.004555,               0.004555,               0.004555
                     57,                 1.4948,                 1.2959,                 1.6893,                0.73988,                0.58611,                0.65404,                0.35164,                 1.5838,                 1.4723,                 1.8468,               0.004456,               0.004456,               0.004456
                     58,                 1.4923,                 1.2974,                 1.6801,                0.71768,                0.57273,                0.64519,                0.35203,                 1.6065,                 1.4268,                 1.8711,               0.004357,               0.004357,               0.004357
                     59,                 1.4627,                 1.3127,                  1.703,                0.64669,                0.58794,                0.63334,                0.34297,                  1.602,                 1.4145,                 1.8458,               0.004258,               0.004258,               0.004258
                     60,                 1.4829,                  1.302,                 1.6923,                0.70683,                0.58485,                0.63242,                 0.3368,                 1.6512,                 1.4519,                 1.8718,               0.004159,               0.004159,               0.004159
                     61,                 1.4626,                  1.295,                  1.687,                0.68034,                0.57879,                0.65152,                0.35765,                 1.5904,                 1.4013,                 1.8638,                0.00406,                0.00406,                0.00406
                     62,                 1.4697,                  1.263,                 1.6507,                0.64734,                0.61515,                0.66557,                0.37123,                 1.5758,                 1.3576,                 1.8163,               0.003961,               0.003961,               0.003961
                     63,                 1.4239,                 1.2542,                 1.6324,                0.74379,                0.54541,                0.66016,                0.35815,                 1.5814,                 1.4687,                 1.8231,               0.003862,               0.003862,               0.003862
                     64,                 1.4322,                 1.2084,                 1.6459,                0.72111,                0.57879,                0.66734,                0.37336,                 1.5673,                 1.3815,                 1.7986,               0.003763,               0.003763,               0.003763
