timestamp,vehicle
1674723600000,1122
1674727200000,850
1674730800000,868
1674734400000,978
1674738000000,1027
1674741600000,1116
1674745200000,1102
1674748800000,1146
1674752400000,1340
1674756000000,1429
1674759600000,1165
1674763200000,775
1674766800000,532
1674770400000,372
1674774000000,239
1674777600000,144
1674781200000,67
1674784800000,34
1674788400000,22
1674792000000,19
1674795600000,53
1674799200000,101
1674802800000,619
1674806400000,1140
1674810000000,1034
1674813600000,865
1674817200000,866
1674820800000,973
1674824400000,1000
1674828000000,1124
1674831600000,1162
1674835200000,1216
1674838800000,1447
1674842400000,1416
1674846000000,1180
1674849600000,932
1674853200000,670
1674856800000,462
1674860400000,428
1674864000000,266
1674867600000,146
1674871200000,99
1674874800000,64
1674878400000,49
1674882000000,64
1674885600000,79
1674889200000,248
1674892800000,461
1674896400000,646
1674900000000,832
1674903600000,907
1674907200000,947
1674910800000,915
1674914400000,924
1674918000000,1070
1674921600000,1015
1674925200000,1040
1674928800000,960
1674932400000,834
1674936000000,658
1674939600000,479
1674943200000,471
1674946800000,432
1674950400000,277
1674954000000,187
1674957600000,132
1674961200000,70
1674964800000,81
1674968400000,60
1674972000000,76
1674975600000,189
1674979200000,215
1674982800000,333
1674986400000,539
1674990000000,721
1674993600000,941
1674997200000,691
1675000800000,898
1675004400000,1161
1675008000000,1116
1675011600000,1087
1675015200000,1018
1675018800000,734
1675022400000,566
1675026000000,426
1675029600000,345
1675033200000,148
1675036800000,86
1675040400000,50
1675044000000,13
1675047600000,19
1675051200000,23
1675054800000,47
1675058400000,115
1675062000000,634
1675065600000,1362
1675069200000,1142
1675072800000,817
1675076400000,871
1675080000000,974
1675083600000,1118
1675087200000,1090
1675090800000,1032
1675094400000,1208
1675098000000,1421
1675101600000,1477
1675105200000,1086
1675108800000,796
1675112400000,498
1675116000000,344
1675119600000,218
1675123200000,116
1675126800000,67
1675130400000,38
1675134000000,23
1675137600000,25
1675141200000,58
1675144800000,113
1675148400000,631
1675152000000,1409
1675155600000,1131
1675159200000,816
1675162800000,847
1675166400000,966
1675170000000,1114
1675173600000,1121
1675177200000,1054
1675180800000,1170
1675184400000,1418
1675188000000,1447
